日期,投放,投放ID,投放,订单,显示数,点击数,(%)点击率,唯一显示数,唯一点击数
2018-06-04,Mobile-信息流,606706,,BJ-18-033,89889,144,0.16,70260,141
2018-06-04,Mobile-专题-mpu,606719,,BJ-18-033,50501,91,0.18,34481,86
2018-06-04,Mobile-专题-顶通,606718,,BJ-18-033,50732,45,0.09,34382,37
2018-06-04,PC-homepage-mpu1,606644,,BJ-18-029,21485,29,0.13,18862,23
2018-06-04,PC-homepage-mpu1-补投,606657,,BJ-18-029,545022,355,0.07,194225,267
2018-06-04,PC-homepage-mpu2,606647,,BJ-18-029,25739,65,0.25,22213,7
2018-06-04,mo-topbanner,606667,,SH-18-011,139882,347,0.25,20073,287
2018-06-04,mo-topbanner-bu,606721,,SH-18-011,231515,349,0.15,191353,305
2018-06-04,mobile-mpu1,606645,,BJ-18-029,159805,331,0.21,128569,291
2018-06-04,mobile-mpu1-补投,606658,,BJ-18-029,406322,941,0.23,298230,799
2018-06-04,mobile-mpu2,606646,,BJ-18-029,249777,298,0.12,203642,268
2018-06-04,mobile-mpu2-补投,606663,,BJ-18-029,1054881,1692,0.16,742299,1419
2018-06-04,pc-hp-mpu1,606665,,SH-18-011,32679,0,0,27241,0
2018-06-04,pc-hp-mpu2,606689,,BJ-18-002,46225,120,0.26,36680,16
2018-06-04,pc-hp-半幅画中画1,606703,,BJ-18-033,32686,26,0.08,27199,22
2018-06-04,pc-hp-全屏,606708,,BJ-18-033,86071,405,0.47,60453,380
2018-06-04,pc-ribbon,606725,,BJ-18-033,92069,21,0.02,65464,21
2018-06-04,pc-ros-mpu2,606648,,BJ-18-029,34932,15,0.04,24640,15
2018-06-04,pc-ros-mpu3,606666,,SH-18-011,177255,0,0,74685,0
2018-06-04,pc-ros-底通,606690,,BJ-18-002,135158,143,0.11,66174,38
2018-06-04,pc-ros-顶通,606705,,BJ-18-033,179279,75,0.04,81646,73
2018-06-04,pc-专题-半幅画中画1,606714,,BJ-18-033,16346,6,0.04,11546,6
2018-06-04,pc-专题-半幅画中画2,606715,,BJ-18-033,16337,10,0.06,11542,10
2018-06-04,pc-专题-底通,606717,,BJ-18-033,16003,10,0.06,11413,10
2018-06-04,pc-专题-顶通,606713,,BJ-18-033,16352,4,0.02,11553,4
2018-06-04,pc-专题-画中画3,606716,,BJ-18-033,16024,8,0.05,11429,7
